ticket,title,role,h_min,c_min,actual_min,delta_h_min,delta_c_min,started_iso,finished_iso,closed_commit,notes,agent,insertions,deletions,files_changed,net_loc,total_loc,commit_date,cross_repo,issue_created,issue_closed,f_worktree,f_overrun,f_test_loop,f_retro_c,f_crossrepo_note,c_ratio,h_ratio,span_min,lead_min
176,Docs: author canonical in-repo docs/pitfalls.md (single source of truth for LCC-assembly pitfalls),WRITER,60,40,4,-56,-36,2026-05-29T08:01:27-10:00,2026-05-29T08:05:08-10:00,a267175,"Built the canonical human-facing pitfall catalog (docs/pitfalls.md) so the facts live in the public repo that implements them rather than the private claude-config skill (which becomes a citing derivative — architectural decision recorded on #176/#178). Synthesised from parity_deviations.md + lcc-isa.md + the skill catalog: the four highest-cost pitfalls (r5/r6/r7, pcoffset9 ±256, narrow signed immediates with a field-width table, branch-flags-not-English) then assembler/runtime/linking/oracle-divergence sections, all symptom->why->fix. Verified field widths against lcc-isa.md (imm9/imm5/offset6); all 6 cross-refs in-repo only (no private refs). Collapsed who_lccjs_is_for.md inline list to teaser+link, added to README Further Reading, resolved the @todo #176 marker. SPLIT at start-of-work per yegor-microtasks: per-demo walkthroughs -> #178 (pdd-tracked, marker placed in game/demo-maker section). start/end logged per request; actual ~4m wall-clock for the full read+write session. Worktree.",,246,17,3,229,263,2026-05-29T08:05:01-10:00,false,2026-05-29T17:45:31Z,2026-05-29T18:05:08Z,true,false,false,false,false,10.0,15.0,3.68,15.93
179,feat: agent identity on worktree branches — self-assigned fruit names (apple/banana/…) for parallel-agent visibility,DEV,95,35,10,-85,-25,2026-05-29T08:53:22-10:00,2026-05-29T09:03:14-10:00,bc57330,"Tooling/workflow feature, dogfooded end-to-end: built while working AS agent 'apple' in .claude/worktrees/apple-issue-179 on branch apple/issue-179-agent-identity. Delivered all 3 sub-puzzles + design doc in one session: scripts/claim.js (npm run claim), puzzle-status.js agent attribution ('by apple'), convention in docs/claude_workflow.md, docs/design-agent-worktree-identity.md. auto-pick is race-safe via detect-and-rollback; --as reuses the session identity. Caught a real path-resolution bug in own testing — new worktree was nesting inside the caller's worktree; fixed to resolve against the main repo root via git --git-common-dir. h=95 is the summed sub-puzzle estimate (45 DEV claim + 30 DEV status + 20 WRITER docs); the @inprogress marker said 45m for the claim.js piece only. actual ~10m focused wall-clock. Worktree.",APPLE,424,7,6,417,431,2026-05-29T09:02:54-10:00,false,2026-05-29T18:53:53Z,2026-05-29T19:05:12Z,true,false,false,false,false,3.5,9.5,9.87,-0.52
180,Velocity: add agent column to puzzle-velocity.csv — attribute each row to the worktree fruit identity,WRITER,20,15,2,-18,-13,2026-05-29T11:13:59-10:00,2026-05-29T11:15:51-10:00,f5af73a,"Schema+docs follow-up to #179: added trailing 'agent' column; set APPLE on #179 (this session) + this row, historical rows left empty (agent unknowable retroactively — no backfill, per user). Documented in docs/puzzle-velocity.md + docs/claude_workflow.md, the puzzle-velocity skill (0.4.0->0.5.0 + CHANGELOG), and the puzzle-velocity-protocol memory. Trailing column preserves positional awk \$1..\$12. Worked AS apple in a worktree alongside live banana/issue-13 (banana had independently adopted the #179 convention). actual ~2m.",APPLE,52,47,3,5,99,2026-05-29T11:15:39-10:00,false,2026-05-29T21:14:00Z,2026-05-29T21:18:05Z,true,false,false,false,false,7.5,10.0,1.87,-0.02
13,#13 reconcile: spike-refresh of the symbolic-debugger epic + accept report-format deltas as by-design,SPIKE,60,30,10,-50,-20,2026-05-29T11:10:57-10:00,2026-05-29T11:23:21-10:00,07e7a86,"yegor spike-refresh: re-ran experiments/debugger-report-parity-probe.sh on main (step 2 of the 4-step plan; #145 had already derived the catalog). Finding: debugger feature is SHIPPED (12/13 acceptance boxes; 13th = deviation 11 by-design), and all five cosmetic .lst/.bst report-format deltas (A banner date, B header A/S padding, C stats alignment, D Loc/Code geometry, F BST trailing space) STILL reproduce on current main — none closed since #145. ROI low-med (pure whitespace/padding/date-shape). Posted refreshed scope comment on #13, ticked the final box. Owner chose accept-as-by-design -> documented as deviation 12 in parity_deviations.md, recorded the 5 genStats.js sites for any future parity work, closed #13 (commit 07e7a86). Span includes 2 AskUserQuestion gaps; active work ~10m. Coordinated around apple #180 (agent column) which merged mid-task — logged under the new agent column.",BANANA,37,2,1,35,39,2026-05-29T11:21:50-10:00,false,2025-05-25T21:07:21Z,2026-05-29T21:21:57Z,false,false,false,false,false,3.0,6.0,12.4,531363.6
178,Docs: per-demo capability walkthroughs for the game/demo-maker path,WRITER,30,15,3,-27,-12,2026-05-29T11:29:22-10:00,2026-05-29T11:32:18-10:00,b7a092d,"Resolved the @todo #178 marker -> added a pick-a-starting-template index to who_lccjs_is_for.md game-maker section: all 14 plusdemos/*.ap grouped (building blocks / movement+rendering / full game loops) with the LCC+ technique each demonstrates, linking plusdemos.md for prose. Synthesised from plusdemos.md + each .ap header (no re-derivation); all 14 file refs + the plusdemos.md link verified to resolve. Separate follow-up commit 990afa6 (refs #13) fixed a staleness I had just introduced: the capability table still listed the debugger as open #13 after I closed #13 today -> moved it to works-today, paired with gameSnake backlog #143 as the not-yet item. Worktree (banana). actual ~3m, content readily synthesisable.",BANANA,25,1,1,24,26,2026-05-29T11:31:13-10:00,false,2026-05-29T18:01:28Z,2026-05-29T21:32:17Z,true,false,false,false,false,5.0,10.0,2.93,207.9
171,Spike: scope linker relocation/multi-module/output-format test coverage — validate plan + decompose into 5 child puzzles,SPIKE,30,20,4,-26,-16,2026-05-29T11:32:16-10:00,2026-05-29T11:36:22-10:00,,"yegor-spike (PM): read-only scope of #171 vs current src/core/linker.js + linker.unit.spec.js. Validated the body's pre-existing 5-child plan as accurate; added 3 refinements (relocation adds the pre-existing operand word; OB-003/#33-35 abort-before-write is ALREADY FIXED -> regression guard not a fix; createExecutable emits VTable as 'A' entries before ATable). Decomposed into #181-185 (3 medium relocation-math children, 2 low) + scope comment on #171; closed #171 as its scope job is done, children carry markers-on-claim. GH-only spike (no code change) so closed_commit empty; #171 closed via gh decomposition. Worked as apple alongside live banana. actual ~4m. [role reclassified PM->SPIKE 2026-05-29 #192: original tag was PM; see role-table COMBO/SPIKE defs.]",APPLE,,,,,,,,2026-05-29T07:01:00Z,2026-05-29T21:36:01Z,false,false,false,false,false,5.0,7.5,4.1,871.27
156,"Test: lock in .e-path LST hex-only parity vs oracle (no source/comments, whitespace-lenient)",TEST,45,30,8,-37,-22,2026-05-29T11:35:49-10:00,2026-05-29T11:43:52-10:00,048bff4,"TDD lock-in; no production change (lccjs .e-path listing was already hex-only). Found the ticket premise was partly stale: an oracle-on-.e helper already existed locally in interpreter.oracle.e2e.spec.js -> promoted it to tests/helpers/runOracle.js as runOracleInterpreterOnExecutable (sibling to runOracleOnDemo) and DRYd the local dup (spec now imports it). The real gap: interpreter.oracle.e2e compares with stripComments:true so it cannot catch source leaking into the .e LST. New spec interpreter.e-path-hex-only.oracle.e2e.spec.js asserts per demoQ/R/Z: (1) code region between Loc-Code header and first ==== is pure hex; (2) distinctive .a comment tokens absent from that code region (negative probe scoped to the code region — first cut searched the whole file and false-positived on the stats block echoing the input filename demoQ1.e; fixed); (3) code-region hex words match the oracle .e lst, whitespace-lenient. Full suite 584 passed / 2 skipped, refactored oracle e2e still 30/30. Worktree (banana).",BANANA,255,68,3,187,323,2026-05-29T11:43:52-10:00,false,2026-05-29T06:06:54Z,2026-05-29T21:43:59Z,true,false,false,false,false,3.75,5.625,8.05,928.92
181,Test: linker adjustExternalReferences() relocation math (11-bit / 9-bit / full-address),TEST,45,15,2,-43,-13,2026-05-29T11:42:30-10:00,2026-05-29T11:44:26-10:00,96e9d6c,"First child of the #171 spike. 7 characterization tests for adjustExternalReferences() in linker.unit.spec.js: 11-bit ETable (clean offset + opcode-bit preservation), the operand-word-folded-into-offset case the spike flagged, 11-bit mask wraparound, 9-bit eTable (offset + high-bit preservation), 9-bit wraparound, VTable full-address add, and an all-three-tables no-interference pass. Hand-computed expectations, green on first run (locks the already-correct math against silent-corruption regressions — not red-green). 13/13 pass in the spec. Marker tagged /QA; logged as TEST role (velocity taxonomy code for test work). Worked as apple alongside live banana. actual ~2m.",APPLE,97,0,1,97,97,2026-05-29T11:44:39-10:00,false,2026-05-29T21:35:23Z,2026-05-29T21:47:00Z,false,false,false,false,false,7.5,22.5,1.93,7.12
182,Test: linker adjustLocalReferences() ATable relocation (moduleStart addition),TEST,30,10,1,-29,-9,2026-05-29T11:50:55-10:00,2026-05-29T11:52:19-10:00,d7f194f,"Second child of the #171 spike (sibling to #181). 4 tests for adjustLocalReferences() in linker.unit.spec.js: in-place mca[addr]+=moduleStart; multiple entries relocated by their own moduleStart in one pass (3 modules at offsets 0/10/30); moduleStart=0 first-module no-op; empty-ATable no-op. Green on first run (characterization of already-correct relocation). 17/17 pass in the spec. Marker /QA, logged TEST. Worked as apple alongside live cherry (#160). actual ~1.5m.",APPLE,55,0,1,55,55,2026-05-29T11:52:30-10:00,false,2026-05-29T21:35:25Z,2026-05-29T21:53:53Z,false,false,false,false,false,10.0,30.0,1.4,15.5
183,Test: linker multi-module address threading (GTable reflects code concatenation),TEST,45,12,1,-44,-11,2026-05-29T11:56:17-10:00,2026-05-29T11:57:01-10:00,0410259,"Third child of the #171 spike — completes the medium relocation-math tier (#181/#182/#183). 4 tests for processModule() mcaIndex/GTable threading in linker.unit.spec.js: 3 modules sizes 10/20/15 -> GTable globals at local+cumulative-offset {foo:0,bar:15,baz:33} with mcaIndex/length=45; code concatenates at offsets 0/10/30; S start threaded (2+10=12, gotStart set); E and A reference addresses threaded by module offset (incl. A.moduleStart). Green on first run. 21/21 pass in spec. Marker /QA, logged TEST. Worked as apple alongside live banana (#151) + cherry (#160). actual ~1m.",APPLE,57,0,1,57,57,2026-05-29T11:57:11-10:00,false,2026-05-29T21:35:26Z,2026-05-29T21:58:46Z,false,false,false,false,false,12.0,45.0,0.73,20.85
151,Research: do jmp condition-suffix mnemonics work? (Appendix B p.276 vs assembler error),RESEARCH,30,20,13,-17,-7,2026-05-29T11:52:13-10:00,2026-05-29T12:04:52-10:00,74bffb0,"Empirical research, no production change. Question: Appendix B p.276 says jmp takes the branch condition suffixes (jmpz/jmpn/...), but they error on assembly. Tested both tools: lccjs rejects jmpz/jmpn/jmpe with Invalid operation; oracle (cuh63 6.3) rejects jmpz IDENTICALLY — the leftover 7-byte .e is the deviation-10 blank artifact, not a real assembly (initial script misread the .e existence as acceptance; corrected). Static: assembler.js has no jmpXX cases, suffixes belong only to br; jmp encoding has no cc field. Conclusion: textbook DOC ERROR, not an lccjs gap — lccjs is parity-correct, no assembler fix. Recorded docs/research/jmp-condition-suffix-mnemonics.md, added a note to docs/lcc-isa.md, resolved the @todo #151 marker in happy-path.a. Note: happy-path.a exits 1 on a pre-existing brb error (line 43) on pristine main too — not caused here, out of scope. Branch needed a rebase onto apple #182/#183 before push (clean). Worktree (banana).",BANANA,68,6,3,62,74,2026-05-29T12:04:52-10:00,false,2026-05-29T05:58:59Z,2026-05-29T22:05:23Z,true,false,false,false,false,1.538,2.308,12.65,953.23
184,Test: linker aborts WITHOUT writing output on unresolved external (regression guard),TEST,30,8,1,-29,-7,2026-05-29T12:05:59-10:00,2026-05-29T12:06:42-10:00,6abbe3b,"Fourth child of the #171 spike (low — regression guard for the already-fixed OB-003/#33-35). 2 tests in linker.unit.spec.js: unresolved external -> link() throws LinkerError, createExecutable never called (pass-through spy), no out.e written in the mock fs; + a resolved-external contrast (link completes, createExecutable called once, out.e written) proving the abort is conditional not blanket. Confirms adjustExternalReferences runs before createExecutable in link(). Green on first run. 23/23 pass in spec. Marker /QA, logged TEST. Worked as apple alongside live banana (#151) + cherry (#160). actual ~1m.",APPLE,50,0,1,50,50,2026-05-29T12:06:51-10:00,false,2026-05-29T21:35:28Z,2026-05-29T22:07:32Z,false,false,false,false,false,8.0,30.0,0.72,30.52
160,Validation methodology: subagent prompts must say 'no file writes' explicitly,WRITER,15,6,8,-7,2,2026-05-29T11:43:18-10:00,2026-05-29T11:50:48-10:00,ab80bbc,"Added a 'prompt discipline' note + reusable subagent-prompt template to docs/lccjs-assembly-skill-validation.md §Method: the #117 fan-out prompts fixed response format but not disk writes, so P2/N1 left stray .a files needing cleanup; the template now carries BOTH the format-only and the explicit 'do not write files to disk' constraint lines so future passes (§3.4/§3.5) leave a clean tree. Marked the parent validation-methodology TODOS bullet done. closed_commit is in lccjs (ships in-repo, not the cross-repo claude-config case). Worked as cherry alongside live banana/apple. actual ~7.5m (a couple min were Opus classifier outages, not work).",CHERRY,27,2,2,25,29,2026-05-29T11:51:27-10:00,false,2026-05-29T06:27:44Z,2026-05-29T22:10:03Z,false,false,false,false,true,0.75,1.875,7.5,915.57
185,Test: linker createExecutable() byte format (signature/header/terminator + LE code words),TEST,45,15,2,-43,-13,2026-05-29T12:08:01-10:00,2026-05-29T12:09:37-10:00,0487533,"Fifth/final child of the #171 spike — completes the epic. 2 tests in linker.unit.spec.js driving the previously-mocked createExecutable() through the virtualFs helper and asserting exact output bytes: o-signature, S+start(LE), G+addr+label+NUL, VTable-emitted-as-'A' entries BEFORE ATable 'A' entries (the spike's format refinement), C terminator, little-endian uint16 code; plus no 'S' without gotStart. Hand-computed byte buffers, green on first run. Full tests/new suite 600 passed/5 skipped, no regressions. Marker /QA, logged TEST. Worked as apple alongside live banana (#151) + cherry (#160). actual ~1.5m. #171 epic fully closed (#181-185).",APPLE,53,0,1,53,53,2026-05-29T12:09:46-10:00,false,2026-05-29T21:35:30Z,2026-05-29T22:11:17Z,false,false,false,false,false,7.5,22.5,1.6,32.52
189,Docs: capture multi-agent worktree concurrency failure modes (worktree-multi-agent-findings.md),WRITER,30,12,2,-28,-10,2026-05-29T12:21:38-10:00,2026-05-29T12:23:21-10:00,68b2e3b,"Authored docs/worktree-multi-agent-findings.md: 7 enumerated failure modes from the 2026-05-29 multi-agent session (append-only CSV conflicts; rebase-then-push partial-state race; closed_commit rebase-orphaning; branch-protection notice; classifier outages; half-visible claim/marker state; transient worktree churn), root-caused to append-only-text-under-concurrent-writers, plus candidate mitigations. Left @todo #188 (open ARC spike) for the process decision; noted CHERRY's SQLite research as a candidate direction. Filed #188 (fix puzzle) + #189 (this doc task). Applied the just-documented lesson live: ran the rebase as a separate GATED step, not chained with push. Worked as apple. actual ~2m.",APPLE,109,0,1,109,109,2026-05-29T12:23:21-10:00,false,2026-05-29T22:22:06Z,2026-05-29T22:24:22Z,true,false,false,false,false,6.0,15.0,1.72,-0.47
186,Research: CSV velocity log → merge=union + empty closed_commit (kill rebase-conflict churn),COMBO,60,25,11,-49,-14,2026-05-29T12:25:34-10:00,2026-05-29T12:36:10-10:00,,"Spike for #186. Empirically verified in a throwaway repo that the built-in `union` merge driver FIRES UNDER git rebase (not just merge): two divergent branches each appending a CSV row auto-unioned with 0 conflict markers; same test confirmed the rebase still rewrites the commit SHA (79e238c->ca419d5), so merge=union fixes the manual-conflict pain (A) but NOT the closed_commit-orphan pain (B) — orthogonal. Recommendation (docs/research/velocity-log-storage.md): keep the CSV, add 'docs/puzzle-velocity.csv merge=union' to .gitattributes, switch to a single-commit close, log closed_commit EMPTY and derive via git log --grep 'Closes #N'. SQLite rejected (binary: unmergeable, undiffable, conflicts worse). Applied: .gitattributes line + docs/puzzle-velocity.md protocol/column rewrite + puzzle-velocity skill 0.6.0 in claude-config. THIS ROW dogfoods the new close: single commit, closed_commit intentionally empty. Follow-up: bulk closed_commit backfill reconciler. actual incl. collaborative scope review. Worked as cherry alongside live agents. [role reclassified RESEARCH->COMBO 2026-05-29 #192: original tag was RESEARCH; see role-table COMBO/SPIKE defs.]",CHERRY,,,,,,,,2026-05-29T22:16:30Z,2026-05-29T22:37:34Z,false,false,false,false,false,2.273,5.455,10.6,9.07
190,Research/test: audit ALL branch-condition mnemonics for OG-LCC parity,TEST,45,30,15,-30,-15,2026-05-29T12:31:52-10:00,2026-05-29T12:50:14-10:00,b035a64,"Test-first TDD audit. Parity spec over all 12 branch mnemonics: each assembles on lccjs + OG LCC to byte-identical .e, plus alias-pair encoding equality. GOTCHA: first cut used self-branch programs (main: brXX main) which infinite-loop the oracle (it RUNS what it assembles) -> spurious hangs + 5 false mismatches; fixed to forward-branch-to-halt. True result: ALL branch mnemonics at full byte-for-byte oracle parity EXCEPT brb (the #187 gap). Locked in as tests/new/assembler.branch-mnemonics.oracle.e2e.spec.js. Full suite 631 pass. Resolved #190 marker (assembler.js). Closed with #187 in b035a64. Worktree (banana).",BANANA,92,2,3,90,94,2026-05-29T12:50:14-10:00,false,2026-05-29T22:23:53Z,2026-05-29T22:50:23Z,true,false,false,false,false,2.0,3.0,18.37,7.98
187,brb errors Invalid operation — in brCodes map but missing from the dispatch,DEV,30,10,3,-27,-7,2026-05-29T12:47:00-10:00,2026-05-29T12:50:14-10:00,b035a64,"One-line fix surfaced by the #190 audit (TDD red): added the brb case to the branch dispatch in assembler.js (it was in assembleBR codes at cc=6 but never routed). brb now encodes 0x0c01 — byte-identical to the oracle and its brc alias. Unblocks demos/happy-path.a (was erroring at line 43). Verified by the #190 parity + alias-equality tests; @todo #187 marker in happy-path.a resolved. Closed with #190 in b035a64. Worktree (banana, shared with #190).",BANANA,92,2,3,90,94,2026-05-29T12:50:14-10:00,false,2026-05-29T22:16:46Z,2026-05-29T22:50:23Z,true,false,false,false,false,3.333,10.0,3.23,30.23
191,Data: day-two re-run of the puzzle-velocity calibration analysis (notebook + new DATA role),DATA,,,22,,,2026-05-29T12:55:49-10:00,2026-05-29T13:17:48-10:00,,"Day-two re-run on the now-larger CSV (54-row calibration set vs ~36 day one). Duplicated stats/puzzle_velocity_analysis.ipynb -> stats/day-two-analysis.ipynb, same methodology for comparability, fully executed; all scope numbers recomputed live. NEW: §1 calendar-axis trend test (2 days now clear n>=5) + task-mix confound check; §7 auto-graduates per-role/test-loop hypotheses against the live power gate. Findings: bias STRONGER (51/54=94%% over-padded, sign-test p~1e-12); over-time axis now exists but raw rising trend (Spearman rho=+0.37,p=0.006) is most likely a task-MIX confound (day2 TEST-heavy; within-WRITER trend n.s.); per-role GRADUATED (TEST ~7.5x vs DEV ~2.6x; DEV-TEST p=0.008, TEST-WRITER p=0.022); LOC-null holds. New hypotheses: control for role before believing drift; TEST estimates want their own correction factor. Added DATA role code to docs/puzzle-velocity.md. Retroactive PDD puzzle (#191): no forward H/C estimate (ad-hoc analysis), wall-clock only; filed+closed same cycle. Refreshed stats/puzzle-velocity-enriched.csv via enrich.py. closed_commit empty per #186 single-commit protocol. Main session, no worktree (agent empty).",,,,,,,,,2026-05-29T23:17:45Z,2026-05-29T23:22:31Z,true,false,true,false,false,,,21.98,-21.93
192,Data hygiene: backfill RESEARCH/SPIKE/COMBO role codes + reclassify 3 mislabeled velocity rows,DATA,,,4,,,2026-05-29T13:29:39-10:00,2026-05-29T13:33:36-10:00,,"Curation follow-up to #191. Added RESEARCH/SPIKE/COMBO role codes to docs/puzzle-velocity.md and reclassified 3 rows (#171 PM->SPIKE, #186 RESEARCH->COMBO, #115 ARC->COMBO), each preserving its original tag inline in notes. Left #13/#151 as-is. COMBO chosen over a VAR/unknown code since nothing was genuinely unknown, just multi-role; COMBO rows sit below the n>=5 gate so notebook per-role analysis is unaffected. Applied via exact-string surgery on only the 4 affected rows (first attempt via csv.writer re-quoted 56 untouched rows -> reverted). Refreshed enriched CSV. Retroactive PDD puzzle filed+closed same cycle; closed_commit empty per #186 protocol. Main session, no worktree.",,,,,,,,,2026-05-29T23:33:48Z,,true,false,false,false,false,,,3.95,-4.15
